countryName,countryCode,yr_2005,yr_2006,yr_2007,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019,yr_2020
Cuba,CUB,0.56,0.56,0.69,0.69,0.69,0.73,0.73,0.73,0.73,0.73,0.64,0.64,0.64,0.64,0.64,0.64
Cyprus,CYP,0.62,0.62,0.64,0.64,0.64,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
Czechia,CZE,0.6,0.6,0.62,0.62,0.62,0.64,0.64,0.64,0.64,0.64,0.68,0.68,0.68,0.68,0.68,0.68
Democratic Republic of Congo,COD,0.15,0.15,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.22,0.22,0.22,0.22,0.22,0.22
Denmark,DNK,0.78,0.78,0.79,0.79,0.79,0.8,0.8,0.8,0.8,0.8,0.83,0.83,0.83,0.83,0.83,0.83
Djibouti,DJI,0.2,0.2,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.26,0.26,0.26,0.26,0.26,0.26
Dominican Republic,DOM,0.43,0.43,0.45,0.45,0.45,0.47,0.47,0.47,0.47,0.47,0.49,0.49,0.49,0.49,0.49,0.49
Ecuador,ECU,0.48,0.48,0.47,0.47,0.47,0.51,0.51,0.51,0.51,0.51,0.55,0.55,0.55,0.55,0.55,0.55
Egypt,EGY,0.38,0.38,0.38,0.38,0.38,0.39,0.39,0.39,0.39,0.39,0.41,0.41,0.41,0.41,0.41,0.41
El Salvador,SLV,0.41,0.41,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.45,0.45,0.45,0.45,0.45,0.45
Equatorial Guinea,GNQ,0.33,0.33,0.36,0.36,0.36,0.37,0.37,0.37,0.37,0.37,0.4,0.4,0.4,0.4,0.4,0.4
Eritrea,ERI,0.2,0.2,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.26,0.26,0.26,0.26,0.26,0.26
Estonia,EST,0.63,0.63,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.73,0.73,0.73,0.73,0.73,0.73
Eswatini,SWZ,0.26,0.26,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.3,0.3,0.3,0.3,0.3,0.3
Ethiopia,ETH,0.18,0.18,0.19,0.19,0.19,0.22,0.22,0.22,0.22,0.22,0.26,0.26,0.26,0.26,0.26,0.26
Finland,FIN,0.8,0.8,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.84,0.84,0.84,0.84,0.84,0.84
France,FRA,0.74,0.74,0.77,0.77,0.77,0.79,0.79,0.79,0.79,0.79,0.82,0.82,0.82,0.82,0.82,0.82
Gabon,GAB,0.36,0.36,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.4,0.4,0.4,0.4,0.4,0.4
Gambia,GMB,0.2,0.2,0.21,0.21,0.21,0.24,0.24,0.24,0.24,0.24,0.25,0.25,0.25,0.25,0.25,0.25
Georgia,GEO,0.5,0.5,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.58,0.58,0.58,0.58,0.58,0.58
Germany,DEU,0.7,0.7,0.71,0.71,0.71,0.74,0.74,0.74,0.74,0.74,0.8,0.8,0.8,0.8,0.8,0.8
Ghana,GHA,0.27,0.27,0.27,0.27,0.27,0.29,0.29,0.29,0.29,0.29,0.33,0.33,0.33,0.33,0.33,0.33
Greece,GRC,0.66,0.66,0.71,0.71,0.71,0.76,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.75,0.75
Guatemala,GTM,0.36,0.36,0.39,0.39,0.39,0.4,0.4,0.4,0.4,0.4,0.41,0.41,0.41,0.41,0.41,0.41
Guinea,GIN,0.17,0.17,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.19
Guinea-Bissau,GNB,0.18,0.18,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.23,0.23,0.23,0.23,0.23,0.23
Guyana,GUY,0.44,0.44,0.45,0.45,0.45,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
Haiti,HTI,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.25,0.25,0.25,0.25,0.25,0.25
Honduras,HND,0.39,0.39,0.41,0.41,0.41,0.42,0.42,0.42,0.42,0.42,0.43,0.43,0.43,0.43,0.43,0.43
Hong Kong,HKG,0.66,0.66,0.67,0.67,0.67,0.74,0.74,0.74,0.74,0.74,0.8,0.8,0.8,0.8,0.8,0.8
Hungary,HUN,0.58,0.58,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.62,0.62,0.62,0.62,0.62,0.62
Iceland,ISL,0.79,0.79,0.81,0.81,0.81,0.83,0.83,0.83,0.83,0.83,0.9,0.9,0.9,0.9,0.9,0.9
India,IND,0.29,0.29,0.31,0.31,0.31,0.33,0.33,0.33,0.33,0.33,0.38,0.38,0.38,0.38,0.38,0.38
Indonesia,IDN,0.41,0.41,0.43,0.43,0.43,0.45,0.45,0.45,0.45,0.45,0.47,0.47,0.47,0.47,0.47,0.47
Iran,IRN,0.42,0.42,0.42,0.42,0.42,0.44,0.44,0.44,0.44,0.44,0.51,0.51,0.51,0.51,0.51,0.51
Iraq,IRQ,0.28,0.28,0.33,0.33,0.33,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
Ireland,IRL,0.73,0.73,0.8,0.8,0.8,0.83,0.83,0.83,0.83,0.83,0.85,0.85,0.85,0.85,0.85,0.85
Israel,ISR,0.69,0.69,0.74,0.74,0.74,0.75,0.75,0.75,0.75,0.75,0.81,0.81,0.81,0.81,0.81,0.81
Italy,ITA,0.71,0.71,0.75,0.75,0.75,0.76,0.76,0.76,0.76,0.76,0.81,0.81,0.81,0.81,0.81,0.81
Jamaica,JAM,0.44,0.44,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.48,0.48,0.48,0.48,0.48,0.48
Japan,JPN,0.76,0.76,0.78,0.78,0.78,0.8,0.8,0.8,0.8,0.8,0.83,0.83,0.83,0.83,0.83,0.83
Jordan,JOR,0.48,0.48,0.48,0.48,0.48,0.49,0.49,0.49,0.49,0.49,0.52,0.52,0.52,0.52,0.52,0.52
Kazakhstan,KAZ,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.58,0.58,0.58,0.58,0.58,0.58
Kenya,KEN,0.26,0.26,0.26,0.26,0.26,0.28,0.28,0.28,0.28,0.28,0.31,0.31,0.31,0.31,0.31,0.31
Kuwait,KWT,0.57,0.57,0.55,0.55,0.55,0.57,0.57,0.57,0.57,0.57,0.54,0.54,0.54,0.54,0.54,0.54
Kyrgyzstan,KGZ,0.45,0.45,0.46,0.46,0.46,0.47,0.47,0.47,0.47,0.47,0.49,0.49,0.49,0.49,0.49,0.49
Laos,LAO,0.3,0.3,0.31,0.31,0.31,0.34,0.34,0.34,0.34,0.34,0.36,0.36,0.36,0.36,0.36,0.36
Latvia,LVA,0.6,0.6,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
Lebanon,LBN,0.45,0.45,0.44,0.44,0.44,0.47,0.47,0.47,0.47,0.47,0.51,0.51,0.51,0.51,0.51,0.51
Lesotho,LSO,0.25,0.25,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.28,0.28,0.28,0.28,0.28,0.28
Liberia,LBR,0.21,0.21,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.24,0.24,0.24,0.24,0.24,0.24
Libya,LBY,0.48,0.48,0.51,0.51,0.51,0.53,0.53,0.53,0.53,0.53,0.45,0.45,0.45,0.45,0.45,0.45
Lithuania,LTU,0.61,0.61,0.63,0.63,0.63,0.64,0.64,0.64,0.64,0.64,0.65,0.65,0.65,0.65,0.65,0.65
